,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,plettenberg bay,24.0,ZA,1532183097.0,100.0,-34.05,23.37,63.77,6.17
1,khatanga,92.0,RU,1532183097.0,64.0,71.98,102.47,48.92,18.03
2,rikitea,88.0,PF,1532183097.0,99.0,-23.12,-134.97,74.48,13.78
3,ekibastuz,92.0,KZ,1532183097.0,92.0,51.72,75.32,68.09,4.94
4,ushuaia,0.0,AR,1532178000.0,69.0,-54.81,-68.31,33.8,8.05
5,norman wells,75.0,CA,1532181600.0,76.0,65.28,-126.83,51.8,2.24
6,muros,75.0,ES,1532181600.0,88.0,42.77,-9.06,66.2,1.12
7,newark,75.0,US,1532181360.0,53.0,40.74,-74.17,75.2,11.41
8,qaanaaq,92.0,GL,1532183098.0,96.0,77.48,-69.36,37.22,4.61
10,punta arenas,0.0,CL,1532178000.0,100.0,-53.16,-70.91,19.4,4.7
11,tuktoyaktuk,75.0,CA,1532181600.0,71.0,69.44,-133.03,50.0,13.87
12,nikolskoye,75.0,RU,1532179800.0,88.0,59.7,30.79,73.4,13.42
13,sydney,0.0,AU,1532181600.0,53.0,-33.85,151.22,50.0,5.82
14,kavieng,20.0,PG,1532183099.0,100.0,-2.57,150.8,83.12,14.79
15,sorland,90.0,NO,1532177400.0,87.0,67.67,12.69,57.2,12.75
16,clyde river,40.0,CA,1532181600.0,87.0,70.47,-68.59,46.4,3.36
17,cherskiy,0.0,RU,1532183099.0,57.0,68.75,161.3,58.55,7.4
19,berlevag,12.0,NO,1532183099.0,77.0,70.86,29.09,59.18,4.05
20,hilo,90.0,US,1532182380.0,94.0,19.71,-155.08,71.6,4.7
21,touros,100.0,BR,1532183100.0,96.0,-5.2,-35.46,76.19,16.8
22,isangel,24.0,VU,1532183100.0,100.0,-19.55,169.27,73.31,8.41
26,port alfred,0.0,ZA,1532183100.0,52.0,-33.59,26.89,73.22,3.15
27,cidreira,0.0,BR,1532183101.0,81.0,-30.17,-50.22,52.61,20.15
